entity_id,entity_type,is_mule,passthrough_ratio,fan_in_count,fan_out_count,layering_depth,sim_switch_count,device_share_count,account_age_days,total_turnover,odd_hour_txn_count,betweenness_centrality,pagerank,in_degree,out_degree,unique_counterparties
INNOCENT_0010,INNOCENT,False,0.3567,5,1,1,1,2,3264.2768,104252.8137,1,0.0618,0.0056,3,3,5
INNOCENT_0011,INNOCENT,False,0.0378,4,4,0,0,1,902.3135,25428.8285,2,0.0665,0.0021,6,2,5
INNOCENT_0012,INNOCENT,False,0.3498,3,1,0,0,1,2844.2055,194393.4588,1,0.0115,0.0011,4,2,3
INNOCENT_0013,INNOCENT,False,0.0527,1,4,1,0,1,2543.23,116642.2052,1,0.016,0.0066,1,6,1
INNOCENT_0014,INNOCENT,False,0.0524,4,3,0,1,2,1469.2331,60888.7897,0,0.053,0.0077,4,4,4
INNOCENT_0015,INNOCENT,False,0.3699,3,1,1,1,1,413.3486,28927.5798,1,0.0335,0.0078,2,5,2
INNOCENT_0016,INNOCENT,False,0.3217,5,3,0,1,2,94.5692,22719.6554,0,0.0637,0.0026,6,3,6
INNOCENT_0017,INNOCENT,False,0.2424,5,5,1,1,1,1384.5462,85750.5352,1,0.0522,0.0071,2,4,6
INNOCENT_0018,INNOCENT,False,0.0947,2,5,1,1,2,411.1066,14245.2125,1,0.0117,0.0068,5,3,4
INNOCENT_0019,INNOCENT,False,0.0575,5,5,1,0,1,586.0805,23982.5227,0,0.0017,0.0014,2,2,10
INNOCENT_0020,INNOCENT,False,0.2365,1,3,1,1,1,1181.1278,101400.7212,2,0.0681,0.0013,7,4,2
INNOCENT_0021,INNOCENT,False,0.0947,2,2,1,1,2,208.2999,75349.2136,1,0.0419,0.0017,1,6,2
INNOCENT_0022,INNOCENT,False,0.3699,1,4,0,1,2,3297.6044,195934.5654,0,0.0624,0.0055,6,5,9
INNOCENT_0023,INNOCENT,False,0.0538,5,3,0,1,2,1705.3337,77632.8097,2,0.0512,0.0029,1,1,5
INNOCENT_0024,INNOCENT,False,0.1668,3,4,0,0,1,1356.3407,66171.6173,1,0.0549,0.0031,3,6,11
INNOCENT_0025,INNOCENT,False,0.3665,5,3,1,0,1,3101.789,130864.8808,1,0.0644,0.0047,6,5,1
INNOCENT_0026,INNOCENT,False,0.294,2,1,0,1,2,3145.803,27288.4646,2,0.0076,0.0061,5,5,1
INNOCENT_0027,INNOCENT,False,0.3744,4,1,1,1,1,2179.1289,156742.1968,2,0.0636,0.0076,1,2,8
INNOCENT_0028,INNOCENT,False,0.038,3,3,1,0,1,2075.1212,114913.6723,1,0.0418,0.0063,4,7,9
INNOCENT_0029,INNOCENT,False,0.1969,2,3,0,1,2,453.9149,18454.0934,0,0.0526,0.0039,7,6,3
INNOCENT_0030,INNOCENT,False,0.1335,4,4,1,1,2,1009.3365,73474.2115,1,0.0126,0.002,3,1,11
INNOCENT_0031,INNOCENT,False,0.1752,4,2,0,1,1,3418.8268,156279.9973,1,0.0383,0.0036,5,7,1
INNOCENT_0032,INNOCENT,False,0.3805,4,3,0,0,2,2336.2075,25262.414,1,0.0549,0.0011,5,1,5
INNOCENT_0033,INNOCENT,False,0.3302,3,2,1,0,1,1122.9772,183769.9372,1,0.0625,0.0018,3,7,1
INNOCENT_0034,INNOCENT,False,0.1136,5,4,1,0,1,3646.7591,133471.2625,0,0.0072,0.0073,5,7,1
INNOCENT_0035,INNOCENT,False,0.0963,3,1,1,1,2,3326.5104,131597.5388,0,0.0029,0.001,2,1,10
INNOCENT_0036,INNOCENT,False,0.3206,4,5,0,0,2,237.1796,160391.8069,2,0.0618,0.0059,7,6,10
INNOCENT_0037,INNOCENT,False,0.0161,3,2,0,0,2,2727.581,126372.3571,1,0.0681,0.0021,6,6,1
INNOCENT_0038,INNOCENT,False,0.1083,1,1,1,1,2,2243.7879,11845.5627,0,0.0034,0.0072,5,4,8
INNOCENT_0039,INNOCENT,False,0.0693,2,1,1,0,1,1689.9895,157032.1087,2,0.0509,0.005,4,2,3
INNOCENT_0040,INNOCENT,False,0.1205,5,3,1,1,2,2380.224,188178.2875,0,0.0407,0.0038,2,7,6
INNOCENT_0041,INNOCENT,False,0.0477,5,1,1,0,1,1579.0096,122586.5219,0,0.0508,0.0039,2,3,10
INNOCENT_0042,INNOCENT,False,0.2353,2,4,0,1,1,1544.6082,95352.4023,0,0.0458,0.005,2,5,8
INNOCENT_0043,INNOCENT,False,0.2592,3,4,1,0,1,2017.9027,86852.2208,2,0.0501,0.0035,7,4,9
INNOCENT_0044,INNOCENT,False,0.3546,4,1,1,1,2,1913.3959,160174.2117,0,0.067,0.0045,3,1,2
INNOCENT_0045,INNOCENT,False,0.0288,5,5,1,0,1,1239.5507,35425.8946,0,0.0251,0.0062,7,1,5
INNOCENT_0046,INNOCENT,False,0.3426,5,3,0,1,1,2205.0423,24814.8386,1,0.0767,0.008,3,4,9
INNOCENT_0047,INNOCENT,False,0.1244,4,4,0,1,2,2350.0169,3134.8014,1,0.0167,0.0047,4,2,8
INNOCENT_0048,INNOCENT,False,0.3345,1,5,1,1,2,3067.4324,198074.0112,1,0.0359,0.0037,1,3,1
INNOCENT_0049,INNOCENT,False,0.3021,1,3,0,0,2,684.9545,181513.6208,0,0.0036,0.0026,2,3,3
INNOCENT_0050,INNOCENT,False,0.2346,3,4,0,0,1,912.0762,168874.0886,2,0.0519,0.0057,5,6,9
INNOCENT_0051,INNOCENT,False,0.0232,4,2,1,1,2,3087.0135,97031.9292,1,0.0615,0.007,3,4,5
INNOCENT_0052,INNOCENT,False,0.2348,5,1,1,0,1,1835.7174,106750.7972,1,0.0319,0.0074,1,5,7
INNOCENT_0053,INNOCENT,False,0.071,1,2,0,0,1,3387.4069,90193.2583,0,0.0246,0.0052,4,1,5
INNOCENT_0054,INNOCENT,False,0.2812,2,3,1,1,2,2275.6949,96023.6689,2,0.0723,0.006,6,2,11
INNOCENT_0055,INNOCENT,False,0.3128,3,5,0,0,2,1623.1211,111067.6567,2,0.0523,0.0078,1,7,2
INNOCENT_0056,INNOCENT,False,0.2935,2,5,1,1,1,478.4086,9148.4451,1,0.0392,0.0079,6,7,6
INNOCENT_0057,INNOCENT,False,0.3912,2,3,0,1,2,2040.7714,160609.8976,0,0.074,0.0068,2,1,1
INNOCENT_0058,INNOCENT,False,0.0195,2,2,0,1,2,2611.9947,154970.4159,0,0.0592,0.0066,7,3,1
INNOCENT_0059,INNOCENT,False,0.0938,1,4,0,1,1,1892.9582,135780.1925,0,0.0024,0.0038,5,7,7
INNOCENT_0060,INNOCENT,False,0.0951,4,3,1,1,1,3119.1077,60489.7866,2,0.0318,0.0029,5,4,10
INNOCENT_0061,INNOCENT,False,0.075,4,1,1,0,1,2952.9024,199749.9306,2,0.0237,0.0039,4,1,2
INNOCENT_0062,INNOCENT,False,0.399,3,5,1,1,2,1450.3761,183144.4533,0,0.0107,0.0036,4,1,1
INNOCENT_0063,INNOCENT,False,0.0808,3,1,0,0,2,1272.7187,84655.9725,1,0.0767,0.0063,4,4,11
